currency_id,currency_name,currency_code,date,buying,selling
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-13,35.4486,35.8031
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-13,58.7858,59.3737
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-16,0.3101,0.3194
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-16,55.365,55.9187
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-16,67.5065,68.1816
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-16,61.143,61.7544
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-16,5.0559,5.1064
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-16,5.0698,5.1205
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-16,7.8243,7.9026
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-16,0.6649,0.6716
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-16,0.3703,0.3814
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-16,178.9009,180.6899
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-16,40.5248,40.9301
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-16,35.0184,35.3685
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-16,14.7589,14.9065
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-16,15.0727,15.2234
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-16,58.3492,58.9327
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-16,72.8216,73.5498
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-16,2.9326,2.9619
